...1,text,location,friends_count,followers_count,screen_name,retweet_count,favorite_count,description,label
18,"$10M in ARP funds went to Providence ‘reparations’ commission pushing for bail fund, K-12 racism curriculum ",U.S.A.,261,22469096,FoxNews,58,100,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
19,"New York teens shot outside GOP candidate Lee Zeldin's home identified, no arrests made: report ",U.S.A.,261,22469096,FoxNews,28,98,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
20,Kelly Rizzo remembers late husband Bob Saget nine months after his death: 'Feels like forever' ,U.S.A.,261,22469096,FoxNews,4,73,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
21,'Fake heiress' Anna Sorokin speaks on her fight against deportation after release from ICE detention ,U.S.A.,261,22469096,FoxNews,21,61,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
22,Cardinals' Justin Pugh explicitly defends Matt Ammendola after missed field goal: 'It’s not one f---ing guy' ,U.S.A.,261,22469096,FoxNews,6,48,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
23,Mila Kunis slams standing ovation for Will Smith at Oscars after slap: 'Insane to me' ,U.S.A.,261,22469096,FoxNews,37,376,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
24,Lee Zeldin says NY crime crisis 'showed up at our doorstep' after shooting outside home with daughters inside ,U.S.A.,261,22469096,FoxNews,52,177,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
25,Arizona rescue divers recover body of missing California swimmer who jumped from boat ,U.S.A.,261,22469096,FoxNews,16,65,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
26,Jen Psaki downplays Hunter Biden charges hurting Democrats in midterms ,U.S.A.,261,22469096,FoxNews,40,141,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
27,Texas teen's grandmother turns him in to San Antonio police for allegedly shooting man ,U.S.A.,261,22469096,FoxNews,12,152,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
28,Padres' Joe Musgrove understands Mets' decision to call for substance check: 'They're desperate' ,U.S.A.,261,22469096,FoxNews,8,73,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
29,"BREAKING NEWS: Ukraine's Zelenskyy to address West at emergency G7 meeting following onslaught of missile attacks

",U.S.A.,261,22469096,FoxNews,153,473,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
30,"Young Wyoming parents skipping meals, turning to ramen noodles as inflation, gas prices soar ",U.S.A.,261,22469096,FoxNews,106,289,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
31,Paris' renowned shops and monuments will plunge into darkness early amid 'energy sobriety' push ,U.S.A.,261,22469096,FoxNews,22,120,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
32,Maryland mom's schoolbook sandwich recipe is a fun add to kids' lunchboxes ,U.S.A.,261,22469096,FoxNews,15,79,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
33,California school bans football team's pro-police flag 3 years after students were rescued from school shooter ,U.S.A.,261,22469096,FoxNews,124,279,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
34,"Mexican government hack reveals military sold arms, received escort from Cartels: report ",U.S.A.,261,22469096,FoxNews,53,211,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
35,Ricky Gervais shuts down hosting the Golden Globes again in Twitter post: 'F--- that' ,U.S.A.,261,22469096,FoxNews,37,436,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
36,Max Scherzer reacts to Mets' elimination: 'It’s a kick in the b---s' ,U.S.A.,261,22469096,FoxNews,5,61,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
37,WSJ editorial slams the United Nations Human Rights Council for refusing to discuss China’s Uyghur genocide ,U.S.A.,261,22469096,FoxNews,59,225,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
38,This is the most popular used car color in the USA ,U.S.A.,261,22469096,FoxNews,10,81,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
39,World Mental Health Day: 'It's OK to ask for support or help' ,U.S.A.,261,22469096,FoxNews,42,173,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
40,"William Shatner reflects on fallout with ‘Star Trek’ pal Leonard Nimoy, historic kiss with Nichelle Nichols ",U.S.A.,261,22469096,FoxNews,18,107,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
41,"Newsom campaign places pro-abortion billboard in Austin, Texas ",U.S.A.,261,22469096,FoxNews,50,187,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
42,Breast cancer and mammograms: 3 key questions women of all ages should ask before their scans ,U.S.A.,261,22469096,FoxNews,18,54,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
43,"On this day in history, Oct. 10, 1845, US Naval Academy founded after planned mutiny shocks nation ",U.S.A.,261,22469096,FoxNews,22,121,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
44,Fetterman's string of misfires after stroke fuel questions about fitness: 'Kicking balls in the authority' ,U.S.A.,261,22469096,FoxNews,65,191,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
45,"Pets quiz! How well do you know these surprising facts about dogs, cats, birds, rabbits and more? ",U.S.A.,261,22469096,FoxNews,12,57,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
46,Biden's equity-obsessed education secretary dodging academic priorities amid 'catastrophic' reading scores ,U.S.A.,261,22469096,FoxNews,100,266,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
47,"OPINION: America’s energy chaos is Biden’s fault. As we pay at the pump, will Democrats pay in midterms? ",U.S.A.,261,22469096,FoxNews,505,2575,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
48,"FOX NEWS FIRST: Fetterman's fitness brought into question, Ukraine cities rocked by missile strikes and more top headlines

",U.S.A.,261,22469096,FoxNews,20,128,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
49,Religious Californians voice opposition to Proposition 1 making abortion a right in state Constitution ,U.S.A.,261,22469096,FoxNews,47,198,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
0,Vladimir Putin threatens more Russian strikes after missiles hit cities across Ukraine in most widespread wave of attacks for months ,"London, UK",3,51299198,BBCBreaking,370,1330,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
1,Criminal barristers in England and Wales vote to end long-running strike action after government offers new pay deal ,"London, UK",3,51299198,BBCBreaking,123,597,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
2,"Multiple large explosions hit Kyiv, as BBC witnesses strikes on Ukraine's capital for first time in many months ","London, UK",3,51299198,BBCBreaking,921,1672,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
3,"Russian President Vladimir Putin accuses Ukraine of attacking the Crimea bridge, saying it was an ""act of terrorism"" ","London, UK",3,51299198,BBCBreaking,635,2755,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
4,"Five-year-old girl and her father among 10 people named as those killed in Donegal petrol station explosion
","London, UK",3,51299198,BBCBreaking,137,748,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
5,"Child and two teenagers among 10 people killed in petrol station explosion in Donegal, in Irish Republic ","London, UK",3,51299198,BBCBreaking,194,648,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
6,Seven people now confirmed dead after Friday's explosion at petrol station in County Donegal in the Republic of Ireland ,"London, UK",3,51299198,BBCBreaking,244,765,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
7,A large fire has broken out on the only bridge from occupied Crimea to Russia - the cause is still unclear ,"London, UK",3,51299198,BBCBreaking,603,2630,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
8,"Three people have died after an explosion at a petrol station in County Donegal in the Irish Republic, police say ","London, UK",3,51299198,BBCBreaking,193,673,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
9,"Liverpool chosen to host the first Eurovision Song Contest to be held in the UK for 25 years

 ","London, UK",3,51299198,BBCBreaking,357,1796,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
10,"Liverpool will host the Eurovision Song Contest next year, beating Glasgow to the honour

Latest ","London, UK",3,51299198,BBCBreaking,560,4008,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
11,"Russia is preparing its people for the possible use of nuclear weapons but is not ready to use them yet, Ukraine's President Zelensky tells the BBC ","London, UK",3,51299198,BBCBreaking,686,2521,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
12,"UK trade minister Conor Burns dismissed from government after a complaint of serious misconduct, No 10 says ","London, UK",3,51299198,BBCBreaking,527,1365,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
13,"Man dies after being shot by officers responding to reports of knifeman in police station car park in Derby, UK ","London, UK",3,51299198,BBCBreaking,118,546,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
14,"Norwegian Nobel Committee Chair Berit Reiss-Andersen says the award honours “three outstanding champions of human rights, democracy and peaceful co-existence” in Russia, Ukraine and Belarus  ","London, UK",3,51299198,BBCBreaking,201,691,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
15,"Nobel Peace Prize awarded to Belarusian campaigner Ales Bialiatski, as well as a Russian and a Ukrainian human rights group ","London, UK",3,51299198,BBCBreaking,331,1245,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
16,"Ex-Met Police officer arrested after a BBC investigation revealed he had been posting racist content on WhatsApp

","London, UK",3,51299198,BBCBreaking,210,745,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
17,"Homes in the UK face three-hour power cuts this winter in the worst case scenario if gas supplies run low, National Grid says ","London, UK",3,51299198,BBCBreaking,571,1208,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
18,Children are among at least 28 people killed in a gun and knife attack at a pre-school in Thailand ,"London, UK",3,51299198,BBCBreaking,6649,4979,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
19,Three more loud explosions hit Ukrainian city Zaporizhzhia hours after missiles struck apartment building in centre of town ,"London, UK",3,51299198,BBCBreaking,151,593,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
20,"Alec Baldwin reaches settlement over death of Halyna Hutchins, shot on set of film Rust last year ","London, UK",3,51299198,BBCBreaking,148,536,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
21,Greenpeace protesters interrupt Liz Truss' first Conservative Party conference speech as UK prime minister and are removed by security  ,"London, UK",3,51299198,BBCBreaking,587,3022,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
22,Liz Truss to give first speech as UK prime minister to Conservative Party conference after bruising few days ,"London, UK",3,51299198,BBCBreaking,97,597,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
23,"Elon Musk's multi-billion dollar deal to buy Twitter is back on, according to documents filed with US authorities ","London, UK",3,51299198,BBCBreaking,374,1176,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
24,"UK Prime Minister Liz Truss refuses to commit to Boris Johnson's pledge to raise benefits in line with inflation but tells BBC she will ""support the most vulnerable"" ","London, UK",3,51299198,BBCBreaking,187,871,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
25,"Discovery of the genetic code of Neanderthals, a task previously thought impossible, wins Swedish scientist Svante Paabo a Nobel prize ","London, UK",3,51299198,BBCBreaking,685,3266,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
26,"""We get it, and we have listened""  

Abolition of the 45p tax rate will not go ahead, confirms UK Chancellor Kwasi Kwarteng

","London, UK",3,51299198,BBCBreaking,455,1603,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
27,Lula ahead of Jair Bolsonaro after first round of Brazil’s presidential election - they face 30 October run-off vote ,"London, UK",3,51299198,BBCBreaking,222,1064,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
28,At least 174 people have died in stampede at Indonesian football match sparked after police tear-gassed fans invading the pitch ,"London, UK",3,51299198,BBCBreaking,2514,5334,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
29,"A 34-year-old man charged with murder of nine-year-old Olivia Pratt-Korbel, who was shot in her home in Liverpool ","London, UK",3,51299198,BBCBreaking,266,1654,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
30,"Russian troops withdraw from strategic town of Lyman where Ukraine's forces threatened to encircle them, Russia's defence ministry says ","London, UK",3,51299198,BBCBreaking,434,2532,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
31,"Prince William says online safety for young people should be ""prerequisite, not an afterthought"" after inquest into 14-year-old Molly Russell's death ","London, UK",3,51299198,BBCBreaking,424,3913,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
32,"Ukraine's President Zelensky applies for fast-track membership of Nato, after Russia's illegal annexation of four regions of Ukraine ","London, UK",3,51299198,BBCBreaking,977,5297,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
33,"Police resume search for Keith Bennett, victim of Moors murderers, after suspected human remains found ","London, UK",3,51299198,BBCBreaking,298,1401,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
34,"""There are four new regions of Russia""

Russian President Vladimir Putin speaks at Kremlin ceremony to annex parts of Ukraine

","London, UK",3,51299198,BBCBreaking,286,805,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
35,"UK schoolgirl Molly Russell viewed online content that contributed ""in a more than minimal way"" to the 14-year-old's death, coroner says ","London, UK",3,51299198,BBCBreaking,129,562,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
36,"At least 19 people killed and dozens wounded in suicide bombing at Kabul education centre, Afghan police say ","London, UK",3,51299198,BBCBreaking,368,912,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
37,"Man, 34, arrested on suspicion of murder of nine-year-old Olivia Pratt-Korbel, shot in her home in Liverpool ","London, UK",3,51299198,BBCBreaking,220,1531,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
38,"Hurricane Ian may have caused ""substantial loss of life"" in Florida, US President Biden says, as storm heads for South Carolina 

Follow the latest ","London, UK",3,51299198,BBCBreaking,196,629,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
39,Queen's cause of death given as “old age” in extracts of death certificate just released ,"London, UK",3,51299198,BBCBreaking,553,2606,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
40,"Russia says it will formally annex four more parts of Ukraine in ceremony on Friday, just days after unrecognised referendums

","London, UK",3,51299198,BBCBreaking,657,1383,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
41,UK Prime Minister Liz Truss says she had to take urgent action to get the economy growing ​ ,"London, UK",3,51299198,BBCBreaking,202,1014,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
42,"Hurricane Ian makes landfall in Florida, with residents urged to shelter and hundreds of thousands left without power ","London, UK",3,51299198,BBCBreaking,182,779,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
43,"Secret filming by BBC Panorama finds ""toxic culture"" of abuse of patients by staff in an NHS mental health hospital

","London, UK",3,51299198,BBCBreaking,532,1380,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
44,Bank of England steps in to calm markets by buying UK government bonds ,"London, UK",3,51299198,BBCBreaking,633,1841,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
45,"A Labour government would create a publicly-owned green energy company to turn UK into clean energy ""superpower"", leader Sir Keir Starmer says ","London, UK",3,51299198,BBCBreaking,317,2455,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
46,"Either Glasgow or Liverpool will host next year's Eurovision Song Contest, after the shortlist of UK cities in contention was cut to just two ","London, UK",3,51299198,BBCBreaking,254,1486,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
47,Direct hit! Nasa smashes spacecraft into asteroid in controlled experiment 7 million miles away ,"London, UK",3,51299198,BBCBreaking,519,2379,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
48,"Bank of England says it will ""not hesitate"" to raise interest rates to curb inflation after the pound fell to a record low against the US dollar ","London, UK",3,51299198,BBCBreaking,681,1856,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
49,"Gunman opens fire at school in Russian city of Izhevsk, with officials saying at least six people killed and others wounded ","London, UK",3,51299198,BBCBreaking,439,1054,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",truth
0,"Many Iranians wounded by the security forces amid protests are too afraid to go to a hospital for treatment, because some protesters seeking medical help have been detained, according to several accounts shared with CBS News. ","New York, NY",597,8808966,CBSNews,11,15,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus",truth
1,"Inside the nation's first and only statewide prison radio station where inmates use conversation to ""become better people."" ","New York, NY",597,8808966,CBSNews,4,26,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus",truth
2,Los Angeles City Council president Nury Martinez announced her resignation Monday after she was heard making racist comments about a councilmember's Black son in a leaked recording of a conversation with other leaders. ,"New York, NY",597,8808966,CBSNews,40,111,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus",truth
3,"Just moments after reporting about a potential Russian attack, a BBC reporter ducked for cover after missiles hit central Kyiv, Ukraine.  ","New York, NY",597,8808966,CBSNews,20,50,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus",truth
4,"The Mets thought Padres pitcher Joe Musgrove's shiny ear was suspicious, so they asked the umpire to check it for foreign substances, stirring controversy. ","New York, NY",597,8808966,CBSNews,3,6,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus",truth
5,"More than a decade after Air France Flight 447 plummeted into the Atlantic Ocean, Winfried Schmidt traveled to Paris from his native Germany to see the airline and Airbus go on trial for involuntary manslaughter. ","New York, NY",597,8808966,CBSNews,8,29,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus",truth
6,"President Biden says the U.S. strongly condemns Russia's missile strikes Monday across Ukraine, saying the attacks ""demonstrate the utter brutality of Mr. Putin’s illegal war on the Ukrainian people.""  ","New York, NY",597,8808966,CBSNews,29,102,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus",truth
